english_name,chinese_name,origin,insertion,innervation,blood_supply,actions,
Biceps brachii,肱二頭肌,Short head: coracoid process; Long head: supraglenoid tubercle,Radial tuberosity; bicipital aponeurosis,Musculocutaneous nerve (C5–C6),Brachial artery,Elbow flexion; forearm supination; assists shoulder flexion,
Triceps brachii,肱三頭肌,Long head: infraglenoid tubercle; Lateral & medial heads: posterior humerus,Olecranon of ulna,Radial nerve (C6–C8),Deep brachial artery,Elbow extension; long head assists shoulder extension,
Deltoid,三角肌,Anterior: clavicle; Middle: acromion; Posterior: spine of scapula,Deltoid tuberosity of humerus,Axillary nerve (C5–C6),"Thoracoacromial artery, posterior circumflex humeral artery",Shoulder abduction; anterior fibers flex/medially rotate; posterior fibers extend/laterally rotate,
Supraspinatus,冈上肌,Supraspinous fossa,Greater tubercle of humerus (superior facet),Suprascapular nerve (C5–C6),Suprascapular artery,Initial 15° shoulder abduction; stabilizes humeral head,
Infraspinatus,冈下肌,Infraspinous fossa,Greater tubercle of humerus (middle facet),Suprascapular nerve (C5–C6),Suprascapular artery,Shoulder external rotation; stabilizes humeral head,
Teres major,大圓肌,Inferior angle of scapula (posterior surface),Medial lip of intertubercular sulcus,Lower subscapular nerve (C5–C6),Subscapular artery,"Shoulder extension, adduction, and medial rotation",
Teres minor,小圓肌,Lateral border of scapula,Greater tubercle of humerus (inferior facet),Axillary nerve (C5–C6),Circumflex scapular artery,Shoulder external rotation; stabilizes humeral head,
Pectoralis major,胸大肌,Clavicular head: medial clavicle; Sternocostal head: sternum & costal cartilages 1–6,Lateral lip of intertubercular sulcus,Medial & lateral pectoral nerves (C5–T1),Thoracoacromial artery,"Shoulder flexion (clavicular head), adduction, medial rotation",
Psoas major,腰大肌,Lesser trochanter of femur,Ventral rami of L1–L3,Musculocutaneous nerve (C5–C6),Lumbar arteries,Powerful hip flexion; trunk flexion,
Iliacus,髂肌,Iliac fossa,Lesser trochanter,Femoral nerve (L2–L4),Iliolumbar artery,Hip flexion,
Rectus femoris,股直肌,AIIS (anterior inferior iliac spine),Tibial tuberosity via patellar tendon,Femoral nerve,Lateral circumflex femoral artery；Deep femoral artery branches,Knee extension; Hip flexion,
Vastus lateralis,股外側肌,Greater trochanter; lateral linea aspera,Tibial tuberosity via patellar tendon,Femoral nerve,Lateral circumflex femoral artery；Perforating branches of deep femoral artery,Initial 15° shoulder abduction; stabilizes humeral head,Knee extension
Vastus medialis,股內側肌,Medial linea aspera,Tibial tuberosity via patella,Femoral nerve,Femoral artery；Profunda femoris artery (deep femoral artery)；Medial circumflex femoral artery,Knee extension; patellar stabilization (VMO),
Vastus intermedius,股中間肌,Anterior and lateral surfaces of femoral shaft,Tibial tuberosity via patellar tendon,Femoral nerve,Lateral circumflex femoral artery,Knee extension,
Sartorius,縫匠肌,ASIS (anterior superior iliac spine),Pes anserinus (medial tibia),Femoral nerve,Femoral artery,"Hip flexion, abduction, external rotation; knee flexion",
Tibialis anterior,脛前肌,Lateral condyle and lateral surface of tibia,Medial cuneiform & base of 1st metatarsal,Deep fibular nerve (L4–L5),Anterior tibial artery,Dorsiflexion; Inversion,
Extensor hallucis longus (EHL),伸拇長肌,Middle anterior surface of fibula,Base of distal phalanx of hallux,Deep fibular nerve,Anterior tibial artery,Extension of great toe; dorsiflexion,
Extensor digitorum longus (EDL),伸趾長肌,Lateral tibial condyle; anterior fibula,Middle and distal phalanges of digits 2–5,Deep fibular nerve,Anterior tibial artery,Extension of digits 2–5; dorsiflexion,
Fibularis tertius,第三腓骨肌,Distal anterior fibula (continuous with EDL),Base of 5th metatarsal,Deep fibular nerve,Anterior tibial artery,Dorsiflexion + eversion,
Extensor digitorum brevis (EDB),伸趾短肌,Dorsal surface of calcaneus,Extensor tendons of digits 2–4,Deep fibular nerve,Dorsalis pedis artery,Extension of digits 2–4,
Extensor hallucis brevis (EHB),伸拇短肌,Calcaneus (same origin area as EDB),Base of proximal phalanx of great toe,Deep fibular nerve,Dorsalis pedis artery,Extension of great toe (at MTP),
Adductor longus,內收長肌,Body of pubis (inferior to pubic crest),Middle third of linea aspera,Obturator nerve (anterior division),Obturator artery；Deep femoral artery (profunda femoris),Hip adduction; assists hip flexion,
Adductor brevis,內收短肌,Body and inferior ramus of pubis,Proximal linea aspera (pectineal line to linea aspera),Obturator nerve (anterior division),Obturator artery；Medial circumflex femoral artery,Hip adduction; mild hip flexion,
